%FE,emulsion_temp,emulsion_pr,rod_quench_cw_exit,casting_wheel_rpm,rod_quench_cw_entry,rm_motor_cooling_water_pressure ,rolling_mill_amp,cool_water_flow,cooling_water_pressure,cooling_water_temp,rolling_mill_rpm,Grade_encoded,UTS,elongation,Conductivity,Grade
0.15,60.47148132,1.872400284,6.600130345,1.903582811,410.215035,1.663999557,301.9018555,123.5076294,4.341145980097649,36.23542511301607,768.9954633421996,2,8.9,14.0,61.8,WE10
0.15,60.27301025,1.864831924,6.539953453,1.903381348,410.0634643,1.6640625,262.8491211,123.4689941,3.690571385841677,37.53083755724265,933.87,2,9.0,12.0,61.8,WE10
0.15,60.21348572,1.879745483,6.522437622,1.903179884,408.2100287,1.661540985,319.9902344,123.5327148,4.183572338602309,37.28270382406347,888.2568064769324,2,9.1,14.4,61.8,WE10
0.15,60.23921204,1.852519989,6.597205742,1.901769996,410.4083132,1.67691803,302.2045898,124.8360596,3.99028770007454,39.21739561079906,774.906182653978,2,9.6,14.4,61.9,WE10
0.15,60.1579895,1.85357666,6.573904283,1.904186964,412.7042539,1.671224594,301.6748047,125.1810913,3.3201440654801138,35.874786256073456,862.2383984172245,2,9.1,15.2,61.9,WE10
0.15,60.29927063,1.873569489,6.580007803,1.906805396,411.0318895,1.645929337,279.7265625,124.9204102,4.0168562704586765,36.74630660181129,849.7224162577295,2,9.0,14.8,61.8,WE10
0.15,60.29927063,1.873569489,6.580007803,1.906805396,411.0318895,1.645929337,279.7265625,124.9204102,3.592869307912492,36.77722343023831,847.0179829338791,2,8.9,16.0,61.8,WE10
0.15,60.18916321,1.847812653,6.566243093,1.902374268,410.9347418,1.679027557,288.8085938,125.0807495,4.45,39.84572376711469,800.1413454352863,2,9.1,13.6,61.8,WE10
0.15,60.18916321,1.847812653,6.566243093,1.902374268,410.9347418,1.679027557,288.8085938,125.0807495,4.45,38.95364228207399,804.0664751144606,2,9.1,12.0,61.8,WE10
0.15,59.86334229,1.84380722,6.561347562,1.904388428,412.2185155,1.673208237,273.4448242,125.1785889,3.912034163863858,34.727882421834735,831.0271670163214,2,9.0,14.4,61.9,WE10
0.15,59.86334229,1.84380722,6.561347562,1.904388428,412.2185155,1.673208237,273.4448242,125.1785889,3.9518557712881823,40.36492083920304,786.2566162588214,2,8.8,16.8,61.9,WE10
0.15,59.79582214,1.837022781,6.570598209,1.901568651,411.1295458,1.674354553,285.7055664,125.0908203,4.39374692524788,40.14489610062783,820.6193062016957,2,8.8,14.0,61.7,WE10
0.15,59.76651001,1.84557724,6.607600799,1.9049927,412.2714126,1.662715912,284.1918945,125.1029663,3.933215297759684,36.051731582596965,771.1502216010845,2,8.9,16.0,61.7,WE10
0.15,59.73002625,1.82585907,6.587446468,1.901769996,411.588327,1.655731201,275.1855469,125.1054688,4.17313019677393,39.15570616865589,877.0286634557484,2,9.0,15.6,61.9,WE10
0.16,59.85864258,2.267255783,5.500765597,2.016577244,341.9959922,1.689430237,349.6582031,125.4885254,4.441408417377442,38.21118833856599,840.6581946713623,2,10.0,14.5,62.0,WE10
0.14,59.8768158,2.294885635,5.497014475,2.016174316,341.9944663,1.688882828,305.4589844,125.2006226,3.6558883477641504,36.98460137457791,744.1246278628344,2,10.5,11.2,62.0,WE10
0.14,59.51705933,2.272964478,5.492436835,2.015771389,339.7524399,1.684217453,337.6245117,125.03302,3.595805151705997,37.55808656766492,933.87,2,10.7,12.7,62.0,WE10
0.16,59.51705933,2.272964478,5.492436835,2.015771389,339.7524399,1.684217453,337.6245117,125.03302,3.772891729902723,33.6637717576538,847.4464139762066,2,10.2,16.6,62.0,WE10
0.16,59.96986389,2.296514511,5.512305064,2.011541843,339.375039,1.67600441,321.1254883,125.2379761,3.421909289869566,33.00099729730108,794.3949678480868,2,9.5,15.1,62.0,WE10
0.14,60.13005066,2.284259796,5.480293374,2.017987013,341.3454587,1.677330017,334.8242188,125.0549316,4.214043305534316,36.75318575216719,865.8315896204542,2,10.2,15.2,62.0,WE10
0.14,59.9099884,2.283561707,5.431051955,1.917480469,341.4502358,1.669319153,350.6420898,125.1426392,3.7866681583484647,38.43733586530589,786.4981433219832,2,10.0,13.5,62.0,WE10
0.16,59.9099884,2.283561707,5.431051955,1.917480469,341.4502358,1.669319153,350.6420898,125.1426392,3.799356829434259,38.73272614027139,797.8820633106187,2,10.7,14.4,62.0,WE10
0.16,60.2711792,2.254217148,5.418908493,1.914459229,340.8093662,1.690753937,333.2348633,125.1790771,4.45,39.34890746902587,832.2809059098812,2,10.1,15.1,62.0,WE10
0.14,59.89126587,2.254262924,5.465511411,1.914257765,341.3678382,1.683963776,310.7568359,125.2098389,3.772631416509324,42.21,854.7612019822241,2,9.8,14.8,62.0,WE10
0.14,59.89126587,2.254262924,5.465511411,1.914257765,341.3678382,1.683963776,310.7568359,125.2098389,4.07944430672022,35.552141268973514,867.3973591508516,2,9.8,15.3,62.0,WE10
